,GOOG
2020-06-16,56.06239747530856
2020-06-17,58.092137293960675
2020-06-18,51.6337013354447
2020-06-19,49.97691473937585
2020-06-22,52.75334803771021
2020-06-23,55.857875479368275
2020-06-24,53.99815037454915
2020-06-25,50.637338151438186
2020-06-26,35.73145316399757
2020-06-29,40.71103982892275
2020-06-30,42.27946731276365
2020-07-01,55.685979237181286
2020-07-02,58.099121297079876
2020-07-03,57.201589828702865
2020-07-06,58.29057633127731
2020-07-07,55.294753351443
2020-07-08,59.46110880014234
2020-07-09,62.08201660909826
2020-07-10,63.26995245194844
2020-07-13,56.58188314520372
2020-07-14,63.29243381868889
2020-07-15,60.92660474729527
2020-07-16,81.14412714901823
2020-07-17,77.2558612140665
2020-07-20,80.09337719835801
2020-07-21,75.54749583881141
2020-07-22,73.69522596575226
2020-07-23,59.37750154092114
2020-07-24,53.304965229112355
2020-07-27,58.91695624921044
2020-07-28,50.799303497016034
2020-07-29,51.98259150485623
2020-07-30,47.99690606999601
2020-07-31,44.83889067409015
2020-08-03,41.5885996459787
2020-08-04,41.206882672791856
2020-08-05,42.102268315738776
2020-08-06,47.467802658015685
2020-08-07,36.328759003350946
2020-08-10,37.771783064569256
2020-08-11,33.07873733975006
2020-08-12,48.06429002233198
2020-08-13,51.35928787348659
2020-08-14,45.20750968847185
2020-08-17,54.10577577377071
2020-08-18,57.824266908446695
2020-08-19,53.41546543178987
2020-08-20,72.3375273772114
2020-08-21,74.76512738001759
2020-08-24,79.0294902735512
2020-08-25,80.09663061952905
2020-08-26,81.55412066526578
2020-08-27,77.555744113786
2020-08-28,78.2807462669196
2020-08-31,79.97350846914503
2020-09-01,79.99143478617259
2020-09-02,83.55884173185765
2020-09-03,67.26665854645611
2020-09-04,58.51713972843686
2020-09-07,54.17740332488286
2020-09-08,48.26319504056081
2020-09-09,47.09180476942299
2020-09-10,44.62005854255563
2020-09-11,42.557461118428115
2020-09-14,39.771356893267125
2020-09-15,36.561191690403
2020-09-16,36.34196289166207
2020-09-17,32.710090913343834
2020-09-18,30.89393665521881
2020-09-21,24.948168762841235
2020-09-22,19.07128581663821
2020-09-23,20.846960394861895
2020-09-24,26.814264827167634
2020-09-25,30.13275680593418
