,MSFT
2020-09-16,33.486724918018226
2020-09-17,29.99999060997159
2020-09-18,30.402236053628968
2020-09-21,30.844285550165395
2020-09-22,31.37586013982734
2020-09-23,35.47713236532519
2020-09-24,40.31184288683098
2020-09-25,44.79015267692755
2020-09-28,56.55199077984403
2020-09-29,45.55089642420837
2020-09-30,55.84354929927888
2020-10-01,59.750176748415086
2020-10-02,50.81047211530719
2020-10-05,51.634659814038706
2020-10-06,50.865539396854416
2020-10-07,56.723662225332376
2020-10-08,60.25356780284023
2020-10-09,62.57342763299237
2020-10-12,63.070296248045935
2020-10-13,73.14486579029908
2020-10-14,68.59607331280625
2020-10-15,63.43011768094181
2020-10-16,62.03485154492457
2020-10-19,57.61155315526748
2020-10-20,55.013918154380846
2020-10-21,52.84671045059828
2020-10-22,62.45704095709141
2020-10-23,59.120661509350064
2020-10-26,56.17777785815337
2020-10-27,55.181817803500934
2020-10-28,40.77532622705524
2020-10-29,36.00808103521032
2020-10-30,23.91845106298517
2020-11-02,20.646270999924027
2020-11-03,30.53680736011364
2020-11-04,46.43246329717018
2020-11-05,53.44205378166535
2020-11-06,59.953897482171975
2020-11-09,53.55378635089696
2020-11-10,46.833744228558
2020-11-11,51.271059109214114
2020-11-12,49.3929667957891
2020-11-13,55.359218579343356
2020-11-16,53.458458534112
2020-11-17,61.84158899992974
2020-11-18,56.225528956896916
2020-11-19,59.916281952747944
2020-11-20,57.741066016687945
2020-11-23,53.81426981293752
2020-11-24,46.99024642781682
2020-11-25,36.59647363038905
2020-11-26,35.81099318871402
2020-11-27,44.860109521805036
2020-11-30,56.23983705686775
2020-12-01,49.19508307817685
2020-12-02,49.83211653191103
2020-12-03,44.57199443064441
2020-12-04,42.93451557210412
2020-12-07,49.517281177865115
2020-12-08,65.45454023637284
2020-12-09,48.352827095491584
2020-12-10,50.35972620276068
2020-12-11,57.67169694645371
2020-12-14,50.959359198688375
2020-12-15,50.73118737277169
2020-12-16,61.79680024062756
2020-12-17,59.649953893212334
2020-12-18,60.57061373521061
2020-12-21,63.72632636378875
2020-12-22,68.0421438658306
2020-12-23,63.273305818897136
2020-12-24,65.45120808677129
2020-12-25,65.62041299072033
2020-12-28,66.23144674694757
2020-12-29,75.54818324437134
2020-12-30,72.00313118045631
2020-12-31,69.60615890293575
2021-01-01,68.33183830865758
2021-01-04,56.573108035313844
2021-01-05,46.883459869549206
2021-01-06,37.0343656512355
2021-01-07,49.54351331986383
2021-01-08,45.08115107564593
2021-01-11,39.586697010172735
2021-01-12,40.05225175555826
2021-01-13,39.418947088438564
2021-01-14,35.52514794578393
2021-01-15,30.62635951853902
2021-01-18,31.427643452863904
2021-01-19,41.88353402643913
2021-01-20,52.4340755488272
2021-01-21,53.18193605777853
2021-01-22,61.37114029644571
2021-01-25,64.65105085340025
2021-01-26,77.25297979122305
2021-01-27,73.28657280512098
2021-01-28,76.76738790905138
2021-01-29,67.68516246077132
2021-02-01,76.84623481577424
2021-02-02,75.87671627394934
2021-02-03,83.35558998460868
2021-02-04,82.221259895526
2021-02-05,82.29509607370368
2021-02-08,80.81933556488246
2021-02-09,77.26636765769584
2021-02-10,74.82616856068147
2021-02-11,75.30024095903849
2021-02-12,73.03339521421182
2021-02-15,70.57869343802166
2021-02-16,67.1537555869325
2021-02-17,60.15415200813321
2021-02-18,80.50535749135895
2021-02-19,54.54547365235211
2021-02-22,38.003854230428054
2021-02-23,23.83004395415007
2021-02-24,30.243671806808422
2021-02-25,22.76290421633385
2021-02-26,31.56741297415428
2021-03-01,38.850793103602825
2021-03-02,36.33585922590647
2021-03-03,27.360245773021447
2021-03-04,25.79532187872408
2021-03-05,34.28035249620312
2021-03-08,32.08086787655098
2021-03-09,39.863816816191864
2021-03-10,39.14040707588001
2021-03-11,46.46018172130552
2021-03-12,51.26119305930226
2021-03-15,51.575923357581
2021-03-16,53.12995351030452
2021-03-17,58.82866600396946
2021-03-18,48.28936320094597
2021-03-19,42.567122421962694
2021-03-22,52.26013708172167
2021-03-23,61.87766137746439
2021-03-24,60.041413172744704
2021-03-25,50.88685243460164
2021-03-26,60.91235415317248
2021-03-29,52.00000836097686
2021-03-30,49.260327202494274
2021-03-31,48.198197651828806
2021-04-01,57.685148728765945
2021-04-02,58.976200648716485
2021-04-05,62.39633629151418
2021-04-06,61.66955429576519
2021-04-07,72.78992252390897
2021-04-08,75.41055829697552
2021-04-09,73.63160232157259
2021-04-12,72.63521776275056
2021-04-13,78.11964009376615
2021-04-14,78.54162920338072
2021-04-15,78.4197690685015
2021-04-16,81.48147450443761
2021-04-19,84.3773896731786
2021-04-20,81.5251274026626
2021-04-21,79.019442482373
2021-04-22,71.28093505664879
2021-04-23,68.82797085980326
2021-04-26,71.89005237390472
2021-04-27,70.35421092502018
2021-04-28,51.94304575568122
2021-04-29,44.96377866956382
2021-04-30,44.42114564952064
2021-05-03,39.36475860249241
2021-05-04,37.94059626437116
2021-05-05,28.1007749949992
2021-05-06,32.672293430633744
2021-05-07,40.33846421101311
2021-05-10,35.14741316184562
2021-05-11,30.030615274002216
2021-05-12,27.144637197818398
2021-05-13,27.236197511515
2021-05-14,34.95059746427283
2021-05-17,32.16485454392212
2021-05-18,36.25479257946284
2021-05-19,38.18867547902064
2021-05-20,43.33800941565376
2021-05-21,42.35777459377865
2021-05-24,53.299499736481856
2021-05-25,55.8424224970216
2021-05-26,52.10025062291564
2021-05-27,46.19104008136055
2021-05-28,53.43029902057258
2021-05-31,54.86052321904358
2021-06-01,63.75245569751809
2021-06-02,58.02331655686557
2021-06-03,44.71405932555797
2021-06-04,61.13539154701614
2021-06-07,70.54769823445503
2021-06-08,67.3013980442355
2021-06-09,64.23711112781425
2021-06-10,72.09815704120886
2021-06-11,65.90609314493886
2021-06-14,67.44985647205442
2021-06-15,63.90121001979127
2021-06-16,67.16294012656174
2021-06-17,71.04278417663124
2021-06-18,67.33026819258313
2021-06-21,76.21345505352389
2021-06-22,78.60509843907822
2021-06-23,82.08655750901484
2021-06-24,79.64201654568325
2021-06-25,72.00621133640786
2021-06-28,78.91146651107448
2021-06-29,80.09453304840717
2021-06-30,75.83198770990859
2021-07-01,75.87759366932134
2021-07-02,79.07652060431462
2021-07-05,83.24712471373374
2021-07-06,86.16253290916472
2021-07-07,85.51688942504303
2021-07-08,82.32121806927029
2021-07-09,80.43734134515044
2021-07-12,75.79726955176919
2021-07-13,79.85561275266028
2021-07-14,79.93947304586881
2021-07-15,80.51853161823564
2021-07-16,76.37004857934515
2021-07-19,61.75120274211138
2021-07-20,66.39413129945893
2021-07-21,68.10792827337318
2021-07-22,66.48549672602294
2021-07-23,70.5260118860259
2021-07-26,69.05317861828503
2021-07-27,60.969169420813756
2021-07-28,65.74800827491595
2021-07-29,65.45125232186886
2021-07-30,63.23682034021708
2021-08-02,57.64939323531235
2021-08-03,58.909907656881856
2021-08-04,60.960035351605654
2021-08-05,65.8132074329641
2021-08-06,75.88358379786541
2021-08-09,69.69827983074526
2021-08-10,61.11114848817981
2021-08-11,52.19512114435432
2021-08-12,50.39365753939579
2021-08-13,59.40602286410106
2021-08-16,70.73050887900936
2021-08-17,66.61821891680097
2021-08-18,59.31313066159248
2021-08-19,71.83362247970732
2021-08-20,78.188152880599
2021-08-23,76.84538258279254
2021-08-24,73.64251650836077
2021-08-25,69.7190393549189
2021-08-26,63.94441606465172
2021-08-27,66.73527074847502
2021-08-30,73.81283501769106
2021-08-31,70.06182255990342
2021-09-01,67.47091736388404
2021-09-02,62.95254913390597
2021-09-03,60.79210852589818
2021-09-06,64.00285877583741
2021-09-07,67.25079803680161
2021-09-08,58.044905649604615
2021-09-09,28.776163129664184
2021-09-10,25.166659884982636
2021-09-13,33.68114526721014
2021-09-14,44.29012999775514
2021-09-15,63.29467776721975
2021-09-16,62.89868224799388
2021-09-17,41.842109137731875
2021-09-20,35.78393216086154
2021-09-21,37.03431452561573
2021-09-22,45.74643254721079
2021-09-23,47.46630152646353
2021-09-24,47.14876398639301
2021-09-27,41.56139206714721
2021-09-28,31.948964462863387
2021-09-29,34.857163982751146
2021-09-30,34.43219026304766
2021-10-01,42.13988947037839
2021-10-04,34.37615948711293
2021-10-05,35.129648697861626
2021-10-06,39.551331371151925
2021-10-07,45.38094984036414
2021-10-08,50.56388942598604
2021-10-11,49.41708296166923
2021-10-12,43.865717553105185
2021-10-13,46.6775733706707
2021-10-14,53.083053238574315
2021-10-15,59.762708524735714
2021-10-18,77.10376246278389
2021-10-19,77.34145298291747
2021-10-20,79.60506541600267
2021-10-21,77.6134233556366
2021-10-22,87.39589822581225
2021-10-25,82.05888948826271
2021-10-26,80.53157974353859
2021-10-27,86.15932406273087
2021-10-28,86.56417992195857
2021-10-29,89.78502619548776
2021-11-01,88.09770210162752
2021-11-02,88.17916122915763
2021-11-03,86.63538348373876
2021-11-04,86.93557739588674
2021-11-05,85.14533680784673
2021-11-08,85.14170309210384
2021-11-09,84.68646032305324
2021-11-10,73.3348589752519
2021-11-11,77.07701693345578
2021-11-12,80.92146824964601
2021-11-15,78.90869471835485
2021-11-16,73.1575919830804
2021-11-17,71.41197466927512
2021-11-18,66.42830349637416
2021-11-19,73.72234083135046
2021-11-22,61.76260376561909
2021-11-23,56.1827813645947
2021-11-24,52.667877030303764
2021-11-25,53.40449979613774
2021-11-26,39.39659003783928
2021-11-29,50.84199054697266
2021-11-30,49.7455885626142
2021-12-01,47.073470873804865
2021-12-02,40.08230108130058
2021-12-03,34.55535890610294
2021-12-06,34.15040322112088
2021-12-07,45.83004332210034
2021-12-08,43.47286933470934
2021-12-09,39.635558628308104
2021-12-10,52.488541198441006
2021-12-13,51.55122672994767
2021-12-14,42.779534854591404
2021-12-15,47.75419606088714
2021-12-16,46.77462996924768
2021-12-17,40.600720080700555
2021-12-20,41.92133387258513
2021-12-21,48.08826973585158
2021-12-22,52.36941053384922
2021-12-23,57.9672541752467
2021-12-24,56.06103864225492
2021-12-27,55.44468506430317
2021-12-28,54.46656980340694
2021-12-29,56.40098479066135
2021-12-30,47.416560281239484
2021-12-31,47.523331116580735
2022-01-03,56.08274781978133
2022-01-04,44.589426940825085
