,AAPL
2019-07-22,58.60483613915962
2019-07-23,58.50939854692708
2019-07-24,58.12976145617786
2019-07-25,55.04157981228424
2019-07-26,65.96361364582938
2019-07-29,66.94777996684735
2019-07-30,61.65478197731238
2019-07-31,71.22978811558124
2019-08-01,58.65091622275481
2019-08-02,48.14929425053869
2019-08-05,36.75212127052349
2019-08-06,42.88594022982218
2019-08-07,42.53830608752484
2019-08-08,50.91943633291712
2019-08-09,42.83742965738379
2019-08-12,40.13684677071794
2019-08-13,50.295861193683514
2019-08-14,46.13713922554224
2019-08-15,44.6004287623401
2019-08-16,47.27646961962786
2019-08-19,51.279967118832474
2019-08-20,47.65242352292053
2019-08-21,53.84475606136404
2019-08-22,58.353131707057756
2019-08-23,59.36367823551083
2019-08-26,59.518562924839514
2019-08-27,55.10571443787613
2019-08-28,52.22835984839652
2019-08-29,58.32639992091791
2019-08-30,58.618544147972095
2019-09-02,49.7083491513237
2019-09-03,54.068963020677465
2019-09-04,59.6178644075409
2019-09-05,58.90698793248607
2019-09-06,54.25064090934014
2019-09-09,55.422711399134776
2019-09-10,55.73770067590647
2019-09-11,63.22165188581397
2019-09-12,81.20231046998647
2019-09-13,68.4305419898914
2019-09-16,74.53241400042047
2019-09-17,74.07172455338616
2019-09-18,72.85715444426081
2019-09-19,69.3109917243774
2019-09-20,62.89071354368596
2019-09-23,69.835459039571
2019-09-24,63.977581607070185
2019-09-25,63.07794590062797
2019-09-26,60.780485045409115
2019-09-27,57.521847798238554
2019-09-30,60.841039708786155
2019-10-01,51.83418863125465
2019-10-02,43.62459138337721
2019-10-03,53.460392963510536
2019-10-04,60.171675581089225
2019-10-07,59.2982473360695
2019-10-08,52.342612731507984
2019-10-09,58.522875542531146
2019-10-10,67.43793041834672
2019-10-11,71.55534744122807
2019-10-14,72.81164367833688
2019-10-15,69.27436941687269
2019-10-16,69.63123617327005
2019-10-17,72.41284165017649
2019-10-18,69.02140336010542
2019-10-21,72.001098227695
2019-10-22,83.76205125185828
2019-10-23,84.44237713757076
2019-10-24,81.06486498238402
2019-10-25,82.95070464980782
2019-10-28,91.87903926168842
2019-10-29,74.96926920457969
2019-10-30,72.29934288544442
2019-10-31,71.70526842481392
2019-11-01,77.99608402054261
2019-11-04,80.16864361189886
2019-11-05,81.45386176495893
2019-11-06,81.03449316890517
2019-11-07,81.58617830687609
2019-11-08,79.69745586840045
2019-11-11,82.17592194002009
2019-11-12,79.73396210916927
2019-11-13,81.00321978558013
2019-11-14,74.69249021575773
2019-11-15,75.18841161065419
2019-11-18,91.40869596600291
2019-11-19,88.99424837452378
2019-11-20,76.59417106816505
2019-11-21,64.56471162683823
2019-11-22,60.8080677304653
2019-11-25,69.23393572256215
2019-11-26,63.56293320777182
2019-11-27,65.37477474461758
2019-11-28,64.4519261941556
2019-11-29,60.031766431853725
2019-12-02,53.925794906758966
2019-12-03,41.69424396135509
2019-12-04,48.53320335813473
2019-12-05,49.71333825114465
2019-12-06,55.129285823308216
2019-12-09,50.82526352146549
2019-12-10,57.22088596996224
2019-12-11,61.60572703432873
2019-12-12,62.67018392086498
2019-12-13,61.769468100860465
2019-12-16,69.49663831956485
2019-12-17,67.01872541566127
2019-12-18,65.82448308747439
2019-12-19,67.12256233443024
2019-12-20,71.96668506382116
2019-12-23,85.44618481186231
2019-12-24,84.54466418919614
2019-12-25,82.4818029263822
2019-12-26,82.78694163089949
2019-12-27,94.68743927778262
2019-12-30,94.72043729208723
2019-12-31,94.68744561083945
2020-01-01,94.54028902838829
2020-01-02,95.12889065717621
2020-01-03,83.62028894105555
2020-01-06,84.68685955493538
2020-01-07,82.50265393345913
2020-01-08,84.88410025500241
2020-01-09,88.63577781145186
2020-01-10,87.3899360439467
2020-01-13,89.3192166006199
2020-01-14,80.98146115615347
2020-01-15,75.78820574215393
2020-01-16,78.05472168001616
2020-01-17,78.87925114983481
2020-01-20,77.87908846166371
2020-01-21,74.3105867029028
2020-01-22,70.86843370663613
2020-01-23,77.12797267542497
2020-01-24,73.89622915064487
2020-01-27,61.311053144265536
2020-01-28,64.32240359410532
2020-01-29,64.46979671553203
2020-01-30,63.37945347004724
2020-01-31,43.61393502103479
2020-02-03,46.33880741293734
2020-02-04,55.89020373774509
2020-02-05,54.97199420239429
2020-02-06,55.16580316931425
2020-02-07,50.9572816598695
2020-02-10,53.702040042214655
2020-02-11,51.40294891406294
2020-02-12,55.37569403534079
2020-02-13,54.342070073292305
2020-02-14,62.0736474810336
2020-02-17,56.31085474656412
2020-02-18,45.3009567216774
2020-02-19,49.794981244988406
2020-02-20,60.80509355128145
2020-02-21,53.89666289779681
2020-02-24,33.060154253475304
2020-02-25,25.64588672198819
2020-02-26,26.51473928892176
2020-02-27,22.072796465872173
2020-02-28,20.583600034276827
2020-03-02,40.134714911912496
2020-03-03,32.35185391609775
2020-03-04,40.65535069045323
2020-03-05,37.50292613936068
2020-03-06,36.39805698910043
2020-03-09,32.26586335458194
2020-03-10,38.29357616992938
2020-03-11,36.80992294260635
2020-03-12,32.94569438945521
2020-03-13,45.068568126544235
2020-03-16,40.05291505656977
2020-03-17,41.593069510005456
2020-03-18,43.998927771568965
2020-03-19,43.661285929638446
2020-03-20,33.86071148191547
2020-03-23,34.60242997602262
2020-03-24,37.30454702266999
2020-03-25,38.796442597225735
2020-03-26,43.06569353164804
2020-03-27,45.57842498918428
2020-03-30,42.224033630741495
2020-03-31,44.345174514034255
2020-04-01,47.88561743137357
2020-04-02,38.790875867896844
2020-04-03,49.65259541947302
2020-04-06,53.82716157414345
2020-04-07,55.212416966430034
2020-04-08,58.372005334996146
2020-04-09,67.06596950849166
2020-04-10,70.07178625894169
2020-04-13,64.42402519662326
2020-04-14,69.99518506780356
2020-04-15,63.890968521699136
2020-04-16,72.88215875636254
2020-04-17,67.08165063869762
2020-04-20,62.969754619814296
2020-04-21,66.6504937549245
2020-04-22,68.08634592698235
2020-04-23,70.07882368122338
2020-04-24,64.51840606685681
2020-04-27,67.51771446174743
2020-04-28,59.519075677124185
2020-04-29,63.531666653417574
2020-04-30,66.33335934078073
2020-05-01,60.07900035541605
2020-05-04,54.44235235018907
2020-05-05,59.305454142774586
2020-05-06,59.76737204307697
2020-05-07,64.83422879789828
2020-05-08,73.34739458993582
2020-05-11,84.58913100551325
2020-05-12,77.89538297150088
2020-05-13,74.71959275386048
2020-05-14,72.16751502708031
2020-05-15,69.93173706127305
2020-05-18,78.32449930192618
2020-05-19,72.33258107759428
2020-05-20,72.342313791038
2020-05-21,75.4581969244159
2020-05-22,74.50008688582041
2020-05-25,72.16794483878539
2020-05-26,67.05507577339685
2020-05-27,65.80161104779853
2020-05-28,60.35184669325734
2020-05-29,54.227980680140774
2020-06-01,64.93134422165384
2020-06-02,73.99816651823306
2020-06-03,73.91036371010725
2020-06-04,71.77352380692491
2020-06-05,73.30895134813397
2020-06-08,78.52329730679106
2020-06-09,80.90364405778995
2020-06-10,88.67398966612316
2020-06-11,63.845018497846674
2020-06-12,65.47488477032815
2020-06-15,69.78601350297978
2020-06-16,72.93101920997064
2020-06-17,72.39990437108611
2020-06-18,72.7542238606047
2020-06-19,69.26054217121569
2020-06-22,72.20347956168493
2020-06-23,74.1064217680017
2020-06-24,71.06966908394787
2020-06-25,69.57491480987613
2020-06-26,60.682137827217055
2020-06-29,59.66533129462777
2020-06-30,56.937351505575506
2020-07-01,70.16440231558452
2020-07-02,68.87397626137067
2020-07-03,66.79923642923859
2020-07-06,67.13904596424189
2020-07-07,66.43814153817475
2020-07-08,70.37952670057226
2020-07-09,73.00622372947123
2020-07-10,69.4222635472829
2020-07-13,63.26320288353834
2020-07-14,74.35588792030275
2020-07-15,73.3847911527456
2020-07-16,82.90754939153524
2020-07-17,78.04530280070725
2020-07-20,80.42509278513658
2020-07-21,73.06432205457212
2020-07-22,73.61953772310353
2020-07-23,55.14947092463247
2020-07-24,47.25593578903576
2020-07-27,54.719694604115645
2020-07-28,43.755607507312554
2020-07-29,48.033119927684474
2020-07-30,50.70700306614376
2020-07-31,68.77013765189064
2020-08-03,69.91952289395203
2020-08-04,69.97993070219555
2020-08-05,73.28461889881088
2020-08-06,76.8566694507439
2020-08-07,69.04870418714532
2020-08-10,73.30864788845139
2020-08-11,66.43580747495561
2020-08-12,77.98752061419765
2020-08-13,79.62695382836503
2020-08-14,78.14580574904319
2020-08-17,80.99869450829652
2020-08-18,80.52808014786442
2020-08-19,79.92793048270103
2020-08-20,73.9294989731237
2020-08-21,77.0532092943134
2020-08-24,77.6487676893475
2020-08-25,74.67201313018539
2020-08-26,72.71827552344783
2020-08-27,76.22416522966213
2020-08-28,74.07813154854927
2020-08-31,87.86827664103265
2020-09-01,88.53293680099166
2020-09-02,79.00884280823371
2020-09-03,57.72289115025477
2020-09-04,58.26126937214014
2020-09-07,57.19810793789039
2020-09-08,46.826053615684046
2020-09-09,48.99303861742836
2020-09-10,37.95259788117162
2020-09-11,34.656477355013976
2020-09-14,40.03369563261411
2020-09-15,38.05405764267517
2020-09-16,36.54548468541989
2020-09-17,35.37231806353661
2020-09-18,27.216752471253542
2020-09-21,24.263149215420682
2020-09-22,28.599525334021465
2020-09-23,32.7741691715938
2020-09-24,34.44824444759438
2020-09-25,40.35983901332364
2020-09-28,52.70475167052122
2020-09-29,45.50514426732651
2020-09-30,53.42992270218633
2020-10-01,57.190033277531036
2020-10-02,46.53024413829836
2020-10-05,51.29659478097647
2020-10-06,51.393783871565226
2020-10-07,56.39159285207245
2020-10-08,62.065901296612005
2020-10-09,60.61633287768566
2020-10-12,66.50065984760809
2020-10-13,69.01522308708965
2020-10-14,68.13985410469787
2020-10-15,63.10226109303043
2020-10-16,56.5105749495697
2020-10-19,52.833592564877854
2020-10-20,52.56333534191571
2020-10-21,50.12187966666855
2020-10-22,54.52436664278636
2020-10-23,47.335768242396426
2020-10-26,53.92604656116317
2020-10-27,53.20674335333396
2020-10-28,43.49775171075785
2020-10-29,47.34811782567953
2020-10-30,24.220309727020094
2020-11-02,27.107318607161346
2020-11-03,31.14697243464036
2020-11-04,41.149351606991026
2020-11-05,50.01431740072013
2020-11-06,54.20415575893765
2020-11-09,48.20078291828081
2020-11-10,48.627209655394864
2020-11-11,55.31551709966768
2020-11-12,55.99999736538896
2020-11-13,56.050587774767344
2020-11-16,55.396738456703744
2020-11-17,63.74622371970142
2020-11-18,55.01294569357052
2020-11-19,73.08780716586477
2020-11-20,69.13800135822949
2020-11-23,57.04253647597596
2020-11-24,50.52331392955843
2020-11-25,41.57303515264356
2020-11-26,42.38258121631554
2020-11-27,50.862608999174654
2020-11-30,58.671171558182685
2020-12-01,59.01731245268911
2020-12-02,60.75597532980461
2020-12-03,60.176986669243504
2020-12-04,55.499141962590656
2020-12-07,61.89956022721596
2020-12-08,68.05002001685493
2020-12-09,58.01838379981221
2020-12-10,64.9442810647606
2020-12-11,75.05857170360251
2020-12-14,70.16473720714816
2020-12-15,77.3925103532979
2020-12-16,77.14285814738605
2020-12-17,77.48525029818035
2020-12-18,67.60760242672117
2020-12-21,64.12096455045584
2020-12-22,69.29826263870126
2020-12-23,67.00595597856274
2020-12-24,70.33474876285595
2020-12-25,68.34823450873814
2020-12-28,73.2352081380263
2020-12-29,75.45702195343435
2020-12-30,70.62993902188114
2020-12-31,70.07812979631302
2021-01-01,71.84623507347999
2021-01-04,53.453741212843745
2021-01-05,56.75675675675673
2021-01-06,46.13970500581322
2021-01-07,57.22523291925466
2021-01-08,56.577149117391286
2021-01-11,44.90511239286407
2021-01-12,46.10388752527307
2021-01-13,48.12499602635533
2021-01-14,45.02924107065398
2021-01-15,32.842242796345786
2021-01-18,35.1403269994544
2021-01-19,38.4735769007503
2021-01-20,48.85096799318667
2021-01-21,56.22764433908175
2021-01-22,64.87069724876667
2021-01-25,67.14656655236121
2021-01-26,77.09424472626931
2021-01-27,70.37306997887546
2021-01-28,58.08209108976012
2021-01-29,54.48256898590535
2021-02-01,57.57661438379416
2021-02-02,56.02942074046415
2021-02-03,57.60507660307224
2021-02-04,64.74820143884892
2021-02-05,63.59524277773753
2021-02-08,63.03099714226277
2021-02-09,56.30943678468433
2021-02-10,47.2913716980974
2021-02-11,42.237979347130775
2021-02-12,32.65961972890247
2021-02-15,31.90894336600543
2021-02-16,30.38478358285508
2021-02-17,34.367175954762516
2021-02-18,42.964348423543775
2021-02-19,34.71722060386418
2021-02-22,23.543205607770417
2021-02-23,24.87557137529572
2021-02-24,4.185607127283959
2021-02-25,3.26015825931934
2021-02-26,3.943403165553846
2021-03-01,31.830218328592807
2021-03-02,29.18521831020547
2021-03-03,26.21037265479886
2021-03-04,23.86829919072376
2021-03-05,27.093587295860402
2021-03-08,24.75246232913406
2021-03-09,36.34835270344819
2021-03-10,36.36871822464383
2021-03-11,39.45614662761731
2021-03-12,42.81168301789522
2021-03-15,47.49932714806068
2021-03-16,50.28601309098065
2021-03-17,55.39960688171182
2021-03-18,49.060967851915485
2021-03-19,38.13867774754586
2021-03-22,47.42635567059803
2021-03-23,50.764336889912386
2021-03-24,49.937341905728694
2021-03-25,48.66687743703233
2021-03-26,59.08579883263665
2021-03-29,50.677513685700646
2021-03-30,49.82237607487375
2021-03-31,50.41685469540683
2021-04-01,54.337297750555486
2021-04-02,47.493677262443
2021-04-05,50.783108012201225
2021-04-06,53.52454164305273
2021-04-07,70.43815897655281
2021-04-08,75.98997585746537
2021-04-09,75.0390812603965
2021-04-12,71.64180407485614
2021-04-13,84.40501285356456
2021-04-14,75.15394685721608
2021-04-15,77.02321119359664
2021-04-16,75.79802023903616
2021-04-19,81.20304322150868
2021-04-20,73.39884242797588
2021-04-21,72.86589256092893
2021-04-22,68.23005214880456
2021-04-23,67.54170662833315
2021-04-26,67.66296576520996
2021-04-27,64.27630878932729
2021-04-28,57.63758997492574
2021-04-29,51.29448945915139
2021-04-30,50.585110959244325
2021-05-03,44.337914029437016
2021-05-04,38.98838343702178
2021-05-05,30.906898425956015
2021-05-06,37.76299491879707
2021-05-07,37.030823650898945
2021-05-10,33.932222892819084
2021-05-11,31.05341342363171
2021-05-12,28.782950539547713
2021-05-13,28.18476598435244
2021-05-14,34.53848155866851
2021-05-17,33.33332289354581
2021-05-18,32.51901161886508
2021-05-19,32.44107256616667
2021-05-20,41.903997590027245
2021-05-21,36.54938914328226
2021-05-24,48.398120711928975
2021-05-25,47.43149627952595
2021-05-26,43.362408211570845
2021-05-27,39.22166815229173
2021-05-28,44.449951626275855
2021-05-31,46.62161197609351
2021-06-01,54.59526327007382
2021-06-02,50.29978834881584
2021-06-03,36.08540372586493
2021-06-04,48.751649821320534
2021-06-07,53.80160897010221
2021-06-08,57.07383672654878
2021-06-09,49.26590335301658
2021-06-10,52.982461071636756
2021-06-11,51.13947274348371
2021-06-14,62.87768970727795
2021-06-15,59.49627229030172
2021-06-16,67.86501935619657
2021-06-17,74.58905713067398
2021-06-18,68.36164469638481
2021-06-21,72.99318864862263
2021-06-22,74.31849022444788
2021-06-23,79.70767291668994
2021-06-24,75.00010145506864
2021-06-25,73.51605786415058
2021-06-28,74.87631703064568
2021-06-29,76.55897533258661
2021-06-30,82.043799041389
2021-07-01,81.00009202979095
2021-07-02,80.46282476479251
2021-07-05,85.05444247259217
2021-07-06,86.4782714305677
2021-07-07,87.19450185494894
2021-07-08,87.19442441123076
2021-07-09,87.2167458421774
2021-07-12,82.58985337759076
2021-07-13,85.11765423943015
2021-07-14,88.92183304682229
2021-07-15,87.32393844311413
2021-07-16,77.62970881923377
2021-07-19,63.076916054467375
2021-07-20,67.35925964569846
2021-07-21,65.10589581491665
2021-07-22,63.34894153297852
2021-07-23,65.7048833159178
2021-07-26,63.533982952821596
2021-07-27,54.32729564656272
2021-07-28,53.361649741284566
2021-07-29,51.074176106246135
2021-07-30,52.80065861621465
2021-08-02,49.744473890456504
2021-08-03,45.896395611683985
2021-08-04,46.450121857789625
2021-08-05,51.71179712773315
2021-08-06,61.14803129569564
2021-08-09,49.76745176339222
2021-08-10,50.79118661091099
2021-08-11,45.913032863451086
2021-08-12,51.2920975749646
2021-08-13,50.438249337063525
2021-08-16,67.61131202208139
2021-08-17,72.67196719286807
2021-08-18,52.45567032628472
2021-08-19,52.84167165658359
2021-08-20,58.38042044584846
2021-08-23,57.52725275069012
2021-08-24,58.73119470682454
2021-08-25,53.953783653591806
2021-08-26,54.2839480117812
2021-08-27,57.23345499318412
2021-08-30,67.58649975734392
2021-08-31,63.319946999377656
2021-09-01,59.02292013399743
2021-09-02,60.83847048560628
2021-09-03,58.103991470014776
2021-09-06,60.99517581063771
2021-09-07,79.94200780718569
2021-09-08,72.74200709380224
2021-09-09,66.29712333054209
2021-09-10,48.288609764067616
2021-09-13,49.841718535736
2021-09-14,49.461388370865045
2021-09-15,53.330363884775394
2021-09-16,50.44080546569039
2021-09-17,32.13564253678787
2021-09-20,29.41177717798071
2021-09-21,28.78505152691214
2021-09-22,32.8042773006234
2021-09-23,33.76793122473448
2021-09-24,34.02596767779788
2021-09-27,24.573220220011635
2021-09-28,22.659491959427044
2021-09-29,26.602823701303848
2021-09-30,31.555552541473773
2021-10-01,33.42936651082957
2021-10-04,30.39300413853394
2021-10-05,33.47244149146532
2021-10-06,36.2047916748045
2021-10-07,44.02242524862246
2021-10-08,49.90213160499689
2021-10-11,48.453104298962955
2021-10-12,38.530605134607434
2021-10-13,34.03449283353977
2021-10-14,42.582136148788535
2021-10-15,48.727796693604624
2021-10-18,62.159345822420384
2021-10-19,64.55572651288497
2021-10-20,69.85672797525478
2021-10-21,68.35038368413846
2021-10-22,80.05041460006818
2021-10-25,76.9506605966341
2021-10-26,76.5989039382373
2021-10-27,71.48384205840561
2021-10-28,79.71733238297992
2021-10-29,68.44328923180238
2021-11-01,70.14606852842147
2021-11-02,74.03694479538322
2021-11-03,71.99774548663098
2021-11-04,67.97887438218505
2021-11-05,65.13115440674707
2021-11-08,55.890633175787514
2021-11-09,55.4847989736756
2021-11-10,45.35714674969392
2021-11-11,47.447050283703305
2021-11-12,53.72312669588812
2021-11-15,51.94728811159721
2021-11-16,55.97552824785918
2021-11-17,52.74462550858854
2021-11-18,71.96516307485288
2021-11-19,78.67392686348323
2021-11-22,78.03262675219472
2021-11-23,76.75297130869265
2021-11-24,79.61164968638815
2021-11-25,79.25357559799878
2021-11-26,64.1492500081344
2021-11-29,68.43957685989079
