,AAPL,GOOG,MSFT
2020-06-11,80.88775024414062,70.92983779907226,185.01650009155273
2020-06-12,81.27637519836426,71.02981262207031,185.24550018310546
2020-06-15,81.62675018310547,71.11958770751953,185.4470001220703
2020-06-16,82.11349983215332,71.29267539978028,185.94400024414062
2020-06-17,82.51799964904785,71.40367546081544,186.37300033569335
2020-06-18,82.95399971008301,71.48657531738282,187.01750106811522
2020-06-19,83.33937454223633,71.53982505798339,187.59950103759766
2020-06-22,83.8391242980957,71.64342498779297,188.4525016784668
2020-06-23,84.46162414550781,71.76189994812012,189.46950149536133
2020-06-24,84.9859992980957,71.79722518920899,190.27100143432617
2020-06-25,85.56837425231933,71.85872497558594,191.21800155639647
2020-06-26,86.01449928283691,71.68617515563965,191.87200164794922
2020-06-29,86.51362419128418,71.59404983520508,192.6525016784668
2020-06-30,87.03187408447266,71.53002471923828,193.58250122070314
2020-07-01,87.51924896240234,71.53417472839355,194.54950103759765
2020-07-02,88.04162368774413,71.66547470092773,195.71650085449218
2020-07-03,88.44924850463867,71.73124961853027,196.66950073242188
2020-07-06,88.95412368774414,71.85397491455078,197.7865005493164
2020-07-07,89.31287384033203,71.9265251159668,198.70900039672853
2020-07-08,89.66949882507325,72.00190010070801,199.5085006713867
2020-07-09,90.2583740234375,72.26977500915527,200.9110008239746
2020-07-10,90.81937408447266,72.5911750793457,202.20750045776367
2020-07-13,91.30587425231934,72.81990013122558,203.1140007019043
2020-07-14,91.75774955749512,73.01455001831054,203.85300064086914
2020-07-15,92.24912452697754,73.17084999084473,204.5430000305176
2020-07-16,92.67862434387207,73.37595024108887,204.9229995727539
2020-07-17,93.12349929809571,73.58552513122558,205.30950012207032
2020-07-20,93.55549926757813,73.87017517089843,205.86100006103516
2020-07-21,93.82387428283691,74.1052001953125,206.2029998779297
2020-07-22,94.18674926757812,74.44650001525879,206.89850006103515
2020-07-23,94.26849937438965,74.63237495422364,207.00849990844728
2020-07-24,94.47887420654297,75.01229972839356,207.25699996948242
2020-07-27,94.69712409973144,75.35037498474121,207.5275001525879
2020-07-28,94.79974937438965,75.56720008850098,207.45300064086913
2020-07-29,95.00037460327148,75.7771499633789,207.4210006713867
2020-07-30,95.25849990844726,75.94402503967285,207.30300064086913
2020-07-31,96.02012519836425,75.98967514038085,207.24050064086913
2020-08-03,96.79387512207032,75.93655014038086,207.53250045776366
2020-08-04,97.61850013732911,75.88602485656739,207.7845001220703
2020-08-05,98.35450019836426,75.83004951477051,207.79000015258788
2020-08-06,99.26199989318847,75.80282440185547,207.89150009155273
2020-08-07,100.0216251373291,75.6846996307373,207.8319999694824
2020-08-10,100.88412513732911,75.64659957885742,207.8909996032715
2020-08-11,101.5,75.54594955444335,207.64249954223632
2020-08-12,102.26425018310547,75.52839965820313,207.7
2020-08-13,103.18862533569336,75.52952461242675,207.93899993896486
2020-08-14,104.1176254272461,75.50997467041016,208.23999938964843
2020-08-17,104.9301254272461,75.39062461853027,208.1739990234375
2020-08-18,105.85825042724609,75.39107475280761,208.3109992980957
2020-08-19,106.78000030517578,75.33867492675782,208.2084991455078
2020-08-20,108.05150032043457,75.5038501739502,208.8104995727539
2020-08-21,109.63925056457519,75.6752254486084,209.39649963378906
2020-08-24,111.19162559509277,75.82022552490234,209.88849945068358
2020-08-25,112.77025032043457,76.08992576599121,210.6109992980957
2020-08-26,114.34437522888183,76.4158260345459,211.46549911499022
2020-08-27,115.78537521362304,76.67302589416504,212.59949951171876
2020-08-28,116.71275024414062,77.07665061950684,213.79449996948242
2020-08-31,117.71787490844727,77.47597541809083,214.24400024414064
2020-09-01,118.94362449645996,77.96532554626465,214.94300079345703
2020-09-02,120.01049919128418,78.60200080871581,215.87850036621094
2020-09-03,120.35937423706055,78.95635108947754,215.92600021362304
2020-09-04,120.85174903869628,79.19772605895996,216.0145004272461
2020-09-07,121.26337394714355,79.43507614135743,216.3145004272461
2020-09-08,121.43562393188476,79.56525115966797,216.27850036621095
2020-09-09,121.65112380981445,79.69110107421875,216.38349990844728
2020-09-10,121.5751235961914,79.7250259399414,216.21699981689454
2020-09-11,121.42974853515625,79.75750122070312,215.97350006103517
2020-09-14,121.46737365722656,79.76075096130371,215.7300003051758
2020-09-15,121.46624870300293,79.7178508758545,215.59449996948243
2020-09-16,121.28737373352051,79.65127563476562,215.36200027465821
2020-09-17,120.8906234741211,79.43572540283203,214.77850036621095
2020-09-18,120.01412315368653,79.13465003967285,214.14700012207032
2020-09-21,119.22524833679199,78.7420497894287,213.58949966430663
2020-09-22,118.57449836730957,78.38514976501465,213.13699951171876
2020-09-23,117.60437355041503,77.79222450256347,212.10899963378907
2020-09-24,116.76487350463867,77.27712440490723,210.93949966430665
2020-09-25,116.13849830627441,76.77849960327148,209.8849998474121
2020-09-28,115.4344985961914,76.35434951782227,209.08050003051758
2020-09-29,114.42999877929688,75.87589950561524,208.07999954223632
2020-09-30,113.65049896240234,75.22919960021973,207.01399993896484
2020-10-01,113.44599914550781,74.84982452392578,206.77200012207032
2020-10-02,113.0489990234375,74.51827430725098,206.36900024414064
2020-10-05,112.82599906921386,74.2557243347168,206.17550048828124
2020-10-06,112.84299926757812,74.05834922790527,206.33800048828124
2020-10-07,112.73099937438965,73.81667442321778,206.26500091552734
2020-10-08,112.80499954223633,73.70144958496094,206.5255012512207
2020-10-09,113.05349960327149,73.687699508667,207.11450119018554
2020-10-12,113.50549964904785,73.81237449645997,207.91400070190429
